# AEB Small 100 SGF Manifest

Selection rule: sort every .sgf member in games.tgz lexicographically by archive path,
then keep the first 100 files that replay with status ok under VantaGo diagnostics.
Selected SGF bytes are committed unchanged under stable local filenames; source_path
records the original archive path for provenance.

archive_members_scanned_for_selection: 100
selected_files: 100
total_moves_replayed: 20065
skipped_during_selection:
  none

files:
id	file	source_path	event	round	black	white	result	date	moves	bytes	sha256
aeb-small-0038	sgf/aeb-small-0038.sgf	games/AJ1st/01/P04.sgf	1st All Japan #1	Last Preliminary	Fukui Masaaki	Kada Katsuji	W+R	1968-10-17	154	1067	6b3d29ea1406c34728fb808a4404964b9429a91597ef3a1c70182b58051d8871
aeb-small-0039	sgf/aeb-small-0039.sgf	games/AJ1st/01/P05.sgf	1st All Japan #1	Last Preliminary	Hane Yasumasa	Nakamura Yutaro	B+2.5	1968-10-17	310	2023	d9d08534eeccc3b27e04ea16a01ff544785a67fc0ee6c2efa37959d8c311009f
aeb-small-0040	sgf/aeb-small-0040.sgf	games/AJ1st/01/P06.sgf	1st All Japan #1	Preliminary	Ishii Mamoru	Ando Takeo	B+R	1968-08-15	231	1529	c3a9887e7a44312e3586769dd7ec859a73bc9263d24008ae612de5350fa4dfd9
aeb-small-0041	sgf/aeb-small-0041.sgf	games/AJ1st/01/P07.sgf	1st All Japan #1	Preliminary	Tanimiya Teiji	Kawamoto Noboru	W+9.5	1968-08-22	229	1525	e53029b6b5420c60de004ed3f391d25c9c1a533f6d26dcab43c6dd6dcc555179
aeb-small-0042	sgf/aeb-small-0042.sgf	games/AJ1st/01/P08.sgf	1st All Japan #1	Preliminary	Suzuki Masaharu	Takeda Hakuai	B+8.5	1968-08-22	235	1561	abb69da1a21c3b5ff282d534c7d03e8ad06fe2ffd27064413626e73c611ec1a9
aeb-small-0043	sgf/aeb-small-0043.sgf	games/AJ1st/01/P09.sgf	1st All Japan #1	Preliminary	Morishima Kaoru	Yoshida Yoichi	B+2.5	1968-08-22	325	2111	64a8e8f7f65ef22ee7346670f8ecc0f4531e9fb4c23c4aaf20ae7cc823112ec3
aeb-small-0044	sgf/aeb-small-0044.sgf	games/AJ1st/01/P10.sgf	1st All Japan #1	Preliminary	Tsuchida Masamitsu	Saijo Masataka	B+R	1968-08-22	187	1270	573ef915b5dc3d7dd9c48cf2fcbbfbeea493c218c2396c188dfa9eb5e234bc0d
aeb-small-0045	sgf/aeb-small-0045.sgf	games/AJ1st/01/P11.sgf	1st All Japan #1	Preliminary	Ozaki Harumi	Izumo Eiji	B+R	1968-08-22	133	931	e008940196b0a9b47d18b954611ddd816b29a095faafe78119f801fb4b911eef
aeb-small-0046	sgf/aeb-small-0046.sgf	games/AJ1st/01/P12.sgf	1st All Japan #1	Preliminary	Tsujii Ryotaro	Segawa Yoshio	B+R	1968-08-22	217	1448	635c0630aeba9163afd66ad1fa7d0e00f2e133ba69ccd51bd1cfb8657b1d6e39
aeb-small-0047	sgf/aeb-small-0047.sgf	games/AJ1st/01/P13.sgf	1st All Japan #1	Preliminary	Tozawa Akinobu	Honma Akio	B+R	1968-08-29	157	1079	569c2557ea4f2f0d17fd81bb955a7e9dd572ae755d84c53e60fc92213cab774d
aeb-small-0048	sgf/aeb-small-0048.sgf	games/AJ1st/01/P14.sgf	1st All Japan #1	Preliminary	Sanno Hirotaka	Sugiuchi Kazuko	W+7.5	1968-08-29	251	1660	b251e1f13c29d46791e1d7dd0eafab74de88180b3772e188bfb98e156b4c701c
aeb-small-0049	sgf/aeb-small-0049.sgf	games/AJ1st/01/P15.sgf	1st All Japan #1	Preliminary	Kojima Takaho	Yamazaki Masuo	B+R	1968-08-29	151	1046	f6971e51bb3f543e831ce11af6a9317889d61800b4077b9281ccfefb1ad84adc
aeb-small-0050	sgf/aeb-small-0050.sgf	games/AJ1st/01/P16.sgf	1st All Japan #1	Preliminary	Haruyama Isamu	Tanaka Minaichi	B+R	1968-08-29	155	1072	000e601ea25f31515d7769076c062d219578a4dc89fb3ef67eb19318a19130ad
aeb-small-0051	sgf/aeb-small-0051.sgf	games/AJ1st/01/P17.sgf	1st All Japan #1	Preliminary	Kaji Kazutame	Yokoyama Koichi	B+R	1968-08-29	215	1437	4815e1a566a1f419e3028e4166f434907be23a25ae0723c1d55edd2aa5df96b0
aeb-small-0052	sgf/aeb-small-0052.sgf	games/AJ1st/01/P18.sgf	1st All Japan #1	Preliminary	Matsuoka Teruo	Nishigami Yoshihiko	W+7.5	1968-08-29	297	1944	530a9734fd70909ecba24e5ed63a9d933516029d20b8aee373e753f7a59e49e3
aeb-small-0053	sgf/aeb-small-0053.sgf	games/AJ1st/01/P19.sgf	1st All Japan #1	Preliminary	Sakai Toshio	Izutani Minoru	W+R	1968-08-29	268	1758	4dbd833d503b7a7f195de035a0f46608bf5190b52d24f7b35b8e2c9d3c2bebd0
aeb-small-0054	sgf/aeb-small-0054.sgf	games/AJ1st/01/P20.sgf	1st All Japan #1	Preliminary	Abe Yoshiteru	Naganuma Makoto	B+R	1968-09-05	87	656	8b075aaf305a60c22dc3c13fa64f7ace39caf586c8bfb775307e700e1d679088
aeb-small-0055	sgf/aeb-small-0055.sgf	games/AJ1st/01/P21.sgf	1st All Japan #1	Preliminary	Hoshino Toshi	Matsumoto Tokuji	W+2.5	1968-09-05	235	1562	e888a86a0226170a3b48f579103b5c69f2efaaff912a97f334a2d997ec6f9ee3
aeb-small-0056	sgf/aeb-small-0056.sgf	games/AJ1st/01/P22.sgf	1st All Japan #1	Preliminary	Suzuki Masaharu	Sakakibara Shoji	W+R	1968-09-12	132	934	b0137cfdfc240f686055e5bc08bb457b190e9270a0ed13a1a18d85550ce2ca81
aeb-small-0057	sgf/aeb-small-0057.sgf	games/AJ1st/01/P23.sgf	1st All Japan #1	Preliminary	Watanabe Hideo	Tozawa Akinobu	W+R	1968-09-12	194	1309	ad85b8f3fab80749f20e853f72f7ccac916811600910c16fa7170d0322ad06bf
aeb-small-0058	sgf/aeb-small-0058.sgf	games/AJ1st/01/P24.sgf	1st All Japan #1	Preliminary	Haruyama Isamu	Kuwahara Munehisa	B+R	1968-09-12	221	1477	74edaf29008e23edfbc7aa6f3552cfaed603b06a68a0c13bced73d0d7f88a3e7
aeb-small-0059	sgf/aeb-small-0059.sgf	games/AJ1st/01/P25.sgf	1st All Japan #1	Preliminary	Kawamoto Noboru	Miwa Yoshiro	B+R	1968-09-12	187	1265	2988b92159c822266ea6d3d5e1c42509d306ad1b25abc3c1fd81d507a4f7d054
aeb-small-0060	sgf/aeb-small-0060.sgf	games/AJ1st/01/P26.sgf	1st All Japan #1	Preliminary	Hayase Hiroshi	Sometani Kazuo	B+R	1968-09-12	141	986	2f1286d6f3fe117eaf01045dddef1f8a1c0aca2183d855460b106c425dc4b639
aeb-small-0061	sgf/aeb-small-0061.sgf	games/AJ1st/01/P27.sgf	1st All Japan #1	Preliminary	Nabeshima Ichiro	Ozaki Harumi	B+R	1968-09-12	163	1120	6dc8a5d16f9d3e274b148010173ff5efe1f9f99d034f685ebd136a86ef3d7ee1
aeb-small-0062	sgf/aeb-small-0062.sgf	games/AJ1st/01/P28.sgf	1st All Japan #1	Preliminary	Nishigami Yoshihiko	Isogawa Masao	B+R	1968-09-12	157	1087	51f9e32627cdbe9590a87b6aaf1919bdc4287ca06e169eb6988857202a8d2891
aeb-small-0063	sgf/aeb-small-0063.sgf	games/AJ1st/01/P29.sgf	1st All Japan #1	Preliminary	Nakamura Yutaro	Ishii Mamoru	B+R	1968-09-19	237	1570	9ded5bfb1467ac4796e77d5f96d4d0822b6e8054869631c1b1454e31fd41fdfa
aeb-small-0064	sgf/aeb-small-0064.sgf	games/AJ1st/01/P30.sgf	1st All Japan #1	Preliminary	Sato Kaoru	Kageyama Toshiro	W+2.5	1968-09-26	284	1858	968099db43d91a8dc64f59ba28814bf9aec12a147027618eaf7189bdd7848151
aeb-small-0065	sgf/aeb-small-0065.sgf	games/AJ1st/01/P31.sgf	1st All Japan #1	Preliminary	Ishige Kakuo	Kosugi Kiyoshi	B+R	1968-10-02	163	1118	0ccc3211ff06a721ee65aa66b0eb528e7aeb9ce35b73d0fb8bd81a927460155a
aeb-small-0066	sgf/aeb-small-0066.sgf	games/AJ1st/01/P32.sgf	1st All Japan #1	Preliminary	Abe Yoshiteru	Suzuki Goro	B+R	1968-10-03	145	1006	236f06170544b06d4e3f487540c48ecc1a17129c077385d075b3040d8ba8d89f
aeb-small-0067	sgf/aeb-small-0067.sgf	games/AJ1st/01/P33.sgf	1st All Japan #1	Preliminary	Mukai Kazuo	Fukui Masaaki	W+23.5	1968-10-03	233	1546	3d9c148451a94cea6e56eb2b15c9d10b5eb92edf95c0f727553108cd521013f9
aeb-small-0068	sgf/aeb-small-0068.sgf	games/AJ1st/01/P34.sgf	1st All Japan #1	Preliminary	Kanno Kiyonori	Takahashi Toshimitsu	B+R	1968-10-10	139	979	c679e622a964f275b1c0c7be5b7204a1572ec5f85649a717dca5850cf78f2a3b
aeb-small-0069	sgf/aeb-small-0069.sgf	games/AJ1st/02/1.sgf	2nd All Japan #1	5	Kato Masao	Miyashita Shuyo	B+R	1971	197	1324	6db5b31725e4e9ce0b8569af6fa7c8ac4fe0eb0df54e1cde35b5e58d5d1b2ef8
aeb-small-0070	sgf/aeb-small-0070.sgf	games/AJ1st/02/10.sgf	2nd All Japan #1	1	Rin Kaiho	Chino Tadahiko	W+0.5	1970-04-19	298	1934	6b8fe9667e452f50e6ca53a707eb01f1e5b9650a688ce5698cf542e89cc58285
aeb-small-0071	sgf/aeb-small-0071.sgf	games/AJ1st/02/11.sgf	2nd All Japan #1	1	Ishii Kunio	Ohira Shuzo	B+R	1970-04-29	173	1165	9f16e61302164ab66d15c2c6c65ab1fccb350ff9f7adda8d67678875ed2fbe19
aeb-small-0072	sgf/aeb-small-0072.sgf	games/AJ1st/02/12.sgf	2nd All Japan #1	1	Maeda Nobuaki	Sato Sunao	W+R	1970-05-07	94	684	1a859c03375d13efdbd5fe4f5d92c4a520bd91f920a94a175222538464e5c437
aeb-small-0073	sgf/aeb-small-0073.sgf	games/AJ1st/02/13.sgf	2nd All Japan #1	1	Kamimura Kunio	Koyama Yasuo	B+0.5	1970-05-07	237	1561	ebfa4bd5d1980afb0243f0a5a78cc4094438bda14168d35da16df162dd2151a5
aeb-small-0074	sgf/aeb-small-0074.sgf	games/AJ1st/02/14.sgf	2nd All Japan #1	1	Fujisawa Hosai	Kada Katsuji	B+R	1970-05-14	235	1547	f62843cb4b7ff5f25839b648ed49af8102aa08b46d1ee2d39aade73131e053ea
aeb-small-0075	sgf/aeb-small-0075.sgf	games/AJ1st/02/15.sgf	2nd All Japan #1	1	Sugiuchi Masao	Suzuki Etsuo	B+R	1970-05-21	167	1132	28d48a4225dfa5b9dbd779cabb99f8af819231c8bdcd81447c8a26edb0718177
aeb-small-0076	sgf/aeb-small-0076.sgf	games/AJ1st/02/16.sgf	2nd All Japan #1	1	Ishida Yoshio	Hashimoto Yoshimi	B+R	1970-05-28	121	856	44fa6a5f80ec666456b441227454c673de92aa3a26ad50626a7d568a7fa4e642
aeb-small-0077	sgf/aeb-small-0077.sgf	games/AJ1st/02/17.sgf	2nd All Japan #1	1	Hisai Keishi	Oyama Kunio	B+1.5	1970-06-11	255	1668	7184c21312f7c78fed39f21f23ce283dcb91e5f609b53422346f51d7cdc58c71
